LISTING_NAME,AIR_CONFIRMATION_ID,HOST_NAME,GUEST_NAME,GUEST_ADULT_NO,GUEST_CHILDREN_NO,GUEST_INFANT_NO,REASON_TO_VISIT,START_DATE,END_DATE,HOST_LOCATION_ID
La Salentina,HivjrbhT-m1sCCll,Amy,Brett Jackson,16,2,1,Leisure,2018-10-24,2018-10-27,AIR-9ELE82U6
Cityden Up,IFeEg88I-cTrrMEA,Sharon,Holly Watson,2,1,0,Family Tourism,2018-05-10,2018-05-14,AIR-3Q116AAP
Quetzal Room,J6W7tmnj-py4uSq3,Shannon,Patrick Conner,9,2,0,Business or work,2017-03-30,2017-04-10,AIR-7O1WOD6J
Orczy Forum Apartment,JlBrSJ4S-2NSLdad,William,Scott Bailey,4,0,0,Other,2018-01-02,2018-01-07,AIR-OPYNSKLW
South Kensington Apartment,Kh6ntql2-ZsTItI1,Benjamin,Corey Robinson,4,0,0,Health/Medical tourism,2019-04-02,2019-04-05,AIR-B0MS88XS
LAX Private Room,kky9m5At-gajL2vE,Jamie,Jason Sanchez,1,0,0,Other,2017-10-18,2017-10-19,AIR-A7WZHIE7
Hillcrest Bali,KlYHgJuV-WM7EVYd,Caitlin,David Brown,1,0,0,Health/Medical tourism,2018-04-09,2018-04-10,AIR-JYCBUDKW
La Salentina,lqxgq2ky-K7mExS4,Amy,Bradley Townsend,10,0,0,Religious Tourism,2018-08-02,2018-08-05,AIR-9ELE82U6
Chic Palermo Soho House,MMqkuw84-XoYOYq6,Angela,Carly Williams,3,0,0,Leisure,2018-03-02,2018-03-08,AIR-MCR346GC
Brooklyn Snooze Factory,n2RaFgSw-rI2Rcit,Kristen,Jorge Johnson,4,0,0,Religious Tourism,2018-08-18,2018-08-22,AIR-XXFI9KTZ
Chic Palermo Soho House,NcdfdlqV-Wymalqe,Angela,Casey Chapman,2,0,0,Ecotourism,2017-07-06,2017-07-10,AIR-MCR346GC
Quetzal Room,nmqNSXjc-MMulqAz,Shannon,Pamela Zavala,8,3,1,Religious Tourism,2017-01-31,2017-02-03,AIR-7O1WOD6J
Shinjuku House,nntwjjmb-A16Kp1r,Robert,Melissa Ibarra,1,1,0,Other,2017-05-14,2017-05-18,AIR-BW35LC9Z
La Salentina,peMvY41W-OnsQ5zD,Amy,Alex Williams,13,0,0,Other,2018-06-11,2018-06-14,AIR-9ELE82U6
The Art House,Q9CW0x6r-BIFH9II,David,Gabriel Peterson,5,0,0,Business or work,2017-07-28,2017-07-29,AIR-BZMYJ6KP
Back Bay Studio,QO68d8fk-obbTyj2,Sherry,Sharon Williams,2,0,0,Personal,2016-09-30,2016-10-04,AIR-VET9D87Y
Kelly's Bunk Room,R72BrCpt-1DHrQQN,Kelly,Jonathan Frost,1,2,0,Health/Medical tourism,2019-01-09,2019-01-13,AIR-6B35HPOM
PB's Fun House,rg2Q7JEU-fxGoaMY,Tammie,David Velasquez,9,2,0,Leisure,2016-06-08,2016-06-12,AIR-E7E82KIZ
Kralingen Apartment,RQkLEabH-DvqiwCK,Sharon,Jennifer Johnson,2,0,1,Health/Medical tourism,2016-11-11,2016-11-15,AIR-XX3A987P
The Five Points Pad,S2ygcmCl-DPFZubf,Donald,Gregory Meyer,2,1,0,Health/Medical tourism,2017-10-30,2017-11-05,AIR-OZVSFUVX
Collins' Studio,Sbh82QTV-Ygu3QVc,Mark,Kelly Rivas,1,2,0,Other,2019-04-05,2019-04-09,AIR-8P9LUR1X
Collins' Studio,USd6xnZh-K0wkilV,Mark,Laura Espinal,1,2,0,Health/Medical tourism,2016-10-20,2016-10-25,AIR-8P9LUR1X
South Kensington Apartment,WQbfd9AT-0URoFd4,Benjamin,Catherine Sandoval,2,2,1,Family Tourism,2018-09-27,2018-10-07,AIR-B0MS88XS
Hillcrest Bali,wQJecAIF-LFFYJxQ,Caitlin,Deborah Wilson,1,3,0,Leisure,2019-10-13,2019-10-15,AIR-JYCBUDKW
Kreuzberg Apartment,XlnzSOVS-47kUZtR,Michael,María Luisa Ledesma,8,1,0,Leisure,2018-02-28,2018-03-02,AIR-XG51NYNL
Shinjuku House,xydR3MZY-ndsdOhy,Robert,Michael Taylor,1,1,0,Education Tourism,2018-04-24,2018-04-28,AIR-BW35LC9Z
LAX Private Room,YeJ1YjN1-9ij9YQp,Jamie,Jeffrey Smith,1,0,0,Health/Medical tourism,2017-05-17,2017-05-20,AIR-A7WZHIE7
Departamento Santa Lucía,YjvHAkb1-ggCoUFH,Yolanda,Robert Olson,10,0,0,Education Tourism,2017-03-11,2017-03-13,AIR-D65JXY94
The Five Points Pad,ytGagVC3-XEp3bai,Donald,Jason Casey,1,3,0,Other,2016-04-27,2016-04-29,AIR-OZVSFUVX
Departamento Santa Lucía,Zcojhvhf-PwEQLTc,Yolanda,Louis Zavala,8,3,1,Leisure,2017-12-13,2017-12-17,AIR-D65JXY94
